"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",12,39.6,6,21.1,18,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",10,30.9,17,55.3,27,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",45,118.3,60,163.7,105,140.5,1,2.6,0,0,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",49,130.8,53,143.5,102,137.1,2,5.3,4,10.8,6,8.1,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",52,143.2,44,122.1,96,132.7,3,8.3,2,5.5,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",43,93.4,56,121.2,99,107.4,3,6.5,4,8.7,7,7.6,0,0,1,2.2,1,1.1,0,0,0,0,0,0
"7","60-69",43,110.7,38,92.8,81,101.5,5,12.9,9,22,14,17.5,3,7.7,1,2.4,4,5,0,0,0,0,0,0
"8","70-79",28,109.3,35,122.8,63,116.4,11,43,9,31.6,20,37,6,23.4,3,10.5,9,16.6,0,0,0,0,0,0
"9","80-89",13,121.6,20,144.9,33,134.7,2,18.7,4,29,6,24.5,3,28.1,4,29,7,28.6,0,0,0,0,0,0
"10","90+",4,204.5,25,677.5,29,513.6,1,51.1,2,54.2,3,53.1,3,153.4,10,271,13,230.3,0,0,0,0,0,0
"11","Total",299,100.5,354,117.2,653,108.9,28,9.4,34,11.3,62,10.3,15,5,19,6.3,34,5.7,0,0,0,0,0,0
