"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,1,8.4,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",3,22.6,3,24.2,6,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",3,23.5,9,72.6,12,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",8,66,6,48.9,14,57.4,2,16.5,0,0,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",4,31.5,9,71.9,13,51.6,0,0,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",11,73.4,15,100.4,26,86.9,2,13.3,1,6.7,3,10,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",6,44.5,10,71.9,16,58.4,1,7.4,2,14.4,3,11,0,0,1,7.2,1,3.7,0,0,0,0,0,0
"8","70-79",5,57.2,5,50.5,10,53.7,4,45.8,1,10.1,5,26.8,0,0,2,20.2,2,10.7,0,0,0,0,0,0
"9","80-89",2,53,3,60.5,5,57.3,1,26.5,1,20.2,2,22.9,0,0,1,20.2,1,11.5,0,0,0,0,0,0
"10","90+",1,142,0,0,1,46,1,142,0,0,1,46,1,142,0,0,1,46,0,0,0,0,0,0
"11","Total",43,41,61,57.2,104,49.2,11,10.5,6,5.6,17,8,1,1,4,3.8,5,2.4,0,0,0,0,0,0
