"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",1,12.8,3,41.5,4,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",4,50.6,1,13.4,5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",10,104.2,6,63.7,16,84.1,0,0,1,10.6,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",7,75.9,5,53.8,12,64.8,1,10.8,1,10.8,2,10.8,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",9,105.4,11,126.6,21,121.9,0,0,1,11.5,1,5.8,0,0,0,0,0,0,0,0,1,0,0,0
"6","50-59",10,95.7,6,57.1,16,76.4,2,19.1,2,19,4,19.1,1,9.6,0,0,1,4.8,0,0,0,0,0,0
"7","60-69",5,45,5,44.9,10,44.9,0,0,2,18,2,9,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",2,30.3,3,42.5,5,36.6,2,30.3,2,28.3,4,29.3,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",1,37.5,2,57,3,48.6,1,37.5,0,0,1,16.2,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",49,65.8,42,55.6,92,61.3,6,8.1,9,11.9,15,10,1,1.3,0,0,1,0.7,0,0,1,0,0,0
