"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",1,59.1,1,63.5,2,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",1,52.1,5,288.5,6,164.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",1,60.6,2,121.6,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",1,41.8,2,82.1,3,62.1,0,0,2,82.1,2,41.4,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",2,74.3,0,0,2,36.9,1,37.1,0,0,1,18.5,0,0,0,0,0,0,0,0,0,0,0,0
"8","70-79",0,0,2,106.3,2,56.5,0,0,1,53.2,1,28.2,0,0,0,0,0,0,0,0,0,0,0,0
"9","80-89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","90+",0,0,1,363.6,1,265.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Total",6,37,13,78.9,19,58.1,1,6.2,3,18.2,4,12.2,0,0,0,0,0,0,0,0,0,0,0,0
