"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",89,58.5,106,73.5,203,68.5,2,1.3,3,2.1,5,1.7,0,0,1,0.7,1,0.3,0,0,8,0,0,0
"2","10-19",216,145.1,184,131.3,418,144.6,3,2,4,2.9,7,2.4,0,0,0,0,0,0,0,0,18,0,0,0
"3","20-29",1002,382.2,857,341.6,1870,364.5,28,10.7,25,10,53,10.3,1,0.4,0,0,1,0.2,0,0,11,0,0,0
"4","30-39",963,374.1,933,344,1917,362.7,43,16.7,41,15.1,84,15.9,1,0.4,0,0,1,0.2,0,0,21,0,0,0
"5","40-49",895,430.2,1040,483.1,1963,463.7,89,42.8,55,25.6,145,34.3,7,3.4,1,0.5,8,1.9,0,1,28,0,0,0
"6","50-59",1001,513.4,1212,606.2,2229,564.5,176,90.3,125,62.5,302,76.5,23,11.8,10,5,33,8.4,0,1,16,0,0,0
"7","60-69",780,501.1,722,419.8,1519,463.6,208,133.6,124,72.1,334,101.9,68,43.7,31,18,100,30.5,1,2,17,0,0,0
"8","70-79",506,557.5,503,449,1027,506.4,200,220.3,152,135.7,354,174.6,129,142.1,72,64.3,204,100.6,3,2,18,0,0,0
"9","80-89",512,1129,930,1424.8,1494,1350.5,156,344,219,335.5,375,339,170,374.9,207,317.1,388,350.7,11,0,52,0,0,0
"10","90+",254,2295.9,792,3459.6,1090,3210,68,614.7,97,423.7,168,494.8,100,903.9,244,1065.8,362,1066.1,18,3,44,0,0,0
"11","Total",6220,407.5,7283,456.9,13736,440.2,974,63.8,845,53,1828,58.6,499,32.7,566,35.5,1098,35.2,33,9,233,0,0,0
