"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",4,22.4,3,17.6,7,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",9,49.3,14,80.5,23,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",19,87.7,49,232.8,68,159.2,0,0,4,19,4,9.4,0,0,0,0,0,0,0,0,0,0,0,0
"4","30-39",30,143.8,39,182.9,69,163.6,1,4.8,1,4.7,2,4.7,0,0,0,0,0,0,0,0,0,0,0,0
"5","40-49",33,170.2,58,296.3,91,233.5,2,10.3,5,25.5,7,18,0,0,0,0,0,0,0,0,0,0,0,0
"6","50-59",37,167,48,219.5,85,193.1,2,9,0,0,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0
"7","60-69",33,181.3,35,184.3,68,182.8,9,49.5,5,26.3,14,37.6,2,11,2,10.5,4,10.8,0,0,0,0,0,0
"8","70-79",28,253.5,25,200.7,53,225.5,11,99.6,5,40.1,16,68.1,7,63.4,3,24.1,10,42.5,0,0,0,0,0,0
"9","80-89",12,273.1,26,437.3,38,367.5,4,91,4,67.3,8,77.4,6,136.5,8,134.6,14,135.4,0,0,0,0,0,0
"10","90+",8,1047.1,15,911.3,23,954.4,4,523.6,1,60.8,5,207.5,2,261.8,6,364.5,8,332,0,0,0,0,0,0
"11","Total",213,137.8,312,198.4,525,168.3,33,21.3,25,15.9,58,18.6,17,11,19,12.1,36,11.5,0,0,0,0,0,0
