"","ageRange","countMaleCases","rateMaleCases","countFemaleCases","rateFemaleCases","countAllCases","rateAllCases","countMaleHosp","rateMaleHosp","countFemaleHosp","rateFemaleHosp","countAllHosp","rateAllHosp","countMaleDeath","rateMaleDeath","countFemaleDeath","rateFemaleDeath","countAllDeath","rateAllDeath","countUnkGenderDeath","countUnkGenderHosp","countUnkGenderCases","countUnkGenderAgeDeath","countUnkGenderAgeHosp","countUnkGenderAgeCases"
"1","0-9",5,22.7,4,19.2,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10-19",31,119.5,20,82.6,51,101.7,0,0,1,4.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"3","20-29",379,1185.1,121,413.5,504,822.9,3,9.4,1,3.4,4,6.5,1,3.1,0,0,1,1.6,0,0,4,0,0,0
"4","30-39",348,1480.8,95,380.4,445,918,10,42.6,0,0,10,20.6,2,8.5,0,0,2,4.1,0,0,2,0,0,0
"5","40-49",194,773,106,412.2,300,590.4,8,31.9,8,31.1,16,31.5,1,4,0,0,1,2,0,0,0,0,0,0
"6","50-59",99,324.1,112,370.2,212,348.7,17,55.7,11,36.4,28,46.1,1,3.3,1,3.3,2,3.3,0,0,1,0,0,0
"7","60-69",58,217.7,56,204.1,114,210.8,13,48.8,16,58.3,29,53.6,3,11.3,2,7.3,5,9.2,0,0,0,0,0,0
"8","70-79",40,236.7,34,178.3,74,205.7,14,82.9,12,62.9,26,72.3,4,23.7,6,31.5,10,27.8,0,0,0,0,0,0
"9","80-89",34,499.6,45,480.8,79,488.7,17,249.8,15,160.3,32,198,10,147,14,149.6,24,148.5,0,0,0,0,0,0
"10","90+",15,1153,61,2035.4,76,1768.3,7,538,23,767.4,30,698,3,230.6,22,734.1,25,581.7,0,0,0,0,0,0
"11","Total",1204,571.3,654,305.5,1865,439,89,42.2,87,40.6,176,41.4,25,11.9,45,21,70,16.5,0,0,7,0,0,0
